               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.023724,            0.011508,                   0,             0.83852,             0.78513,             0.80293,             0.33963,            0.039566,            0.015313,                   0,           0.0015121,           0.0015121,           0.0015121
                 129,             0.02459,            0.012282,                   0,             0.82497,              0.7878,             0.78204,             0.33203,            0.039746,            0.014705,                   0,           0.0014693,           0.0014693,           0.0014693
                 130,            0.024114,            0.011466,                   0,             0.82833,             0.80634,             0.80131,             0.33407,            0.040045,            0.015289,                   0,           0.0014283,           0.0014283,           0.0014283
                 131,            0.023191,            0.011839,                   0,             0.82062,             0.80091,             0.79778,             0.34105,            0.040067,            0.015462,                   0,            0.001389,            0.001389,            0.001389
                 132,            0.023755,            0.011564,                   0,             0.82641,             0.79557,             0.79436,             0.34064,            0.039582,            0.015467,                   0,           0.0013516,           0.0013516,           0.0013516
                 133,            0.023531,            0.012081,                   0,             0.82656,             0.80901,             0.78338,             0.33781,            0.039493,             0.01511,                   0,            0.001316,            0.001316,            0.001316
                 134,              0.0234,            0.010992,                   0,             0.84496,             0.82493,             0.80854,             0.34038,            0.039475,            0.015162,                   0,           0.0012822,           0.0012822,           0.0012822
                 135,            0.023197,            0.010994,                   0,             0.81934,             0.80902,             0.79865,             0.34763,            0.039483,            0.015443,                   0,           0.0012503,           0.0012503,           0.0012503
                 136,             0.02343,            0.011346,                   0,             0.83723,             0.80497,             0.80388,             0.33893,            0.039928,            0.015798,                   0,           0.0012202,           0.0012202,           0.0012202
                 137,            0.023018,            0.010657,                   0,             0.84389,             0.80371,             0.80631,             0.34252,            0.039572,            0.015587,                   0,           0.0011921,           0.0011921,           0.0011921
                 138,            0.023123,            0.011447,                   0,             0.81449,             0.80359,             0.77555,             0.33839,            0.039472,            0.016034,                   0,           0.0011658,           0.0011658,           0.0011658
                 139,             0.02327,            0.011653,                   0,              0.8273,             0.78779,             0.78224,              0.3463,            0.039382,            0.015472,                   0,           0.0011414,           0.0011414,           0.0011414
                 140,            0.023194,            0.010682,                   0,             0.84416,             0.79045,             0.79147,             0.34137,            0.039575,            0.015637,                   0,           0.0011189,           0.0011189,           0.0011189
                 141,            0.022611,            0.010833,                   0,             0.80529,             0.80106,             0.78771,             0.33984,            0.039847,            0.015778,                   0,           0.0010983,           0.0010983,           0.0010983
