               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.031416,            0.014037,                   0,             0.79429,             0.81963,             0.80111,             0.33242,            0.040406,            0.013287,                   0,            0.002318,            0.002318,            0.002318
                  77,            0.030665,            0.014214,                   0,             0.79975,             0.82759,             0.82101,             0.35918,            0.038599,            0.012875,                   0,           0.0022196,           0.0022196,           0.0022196
                  78,            0.030337,            0.014094,                   0,             0.83655,               0.801,             0.80541,             0.33744,            0.039133,            0.013031,                   0,           0.0021245,           0.0021245,           0.0021245
                  79,             0.03071,            0.014323,                   0,             0.83629,             0.84012,             0.82728,             0.33473,            0.039349,               0.013,                   0,           0.0020327,           0.0020327,           0.0020327
                  80,            0.030095,            0.013876,                   0,             0.82915,             0.79841,             0.81178,             0.33293,            0.039537,            0.013822,                   0,           0.0019443,           0.0019443,           0.0019443
                  81,            0.029791,            0.014316,                   0,             0.78952,             0.85676,             0.83988,             0.34488,            0.039021,            0.013711,                   0,           0.0018594,           0.0018594,           0.0018594
                  82,            0.029532,            0.013425,                   0,              0.8173,             0.81963,             0.81845,             0.33251,            0.039484,            0.013863,                   0,           0.0017781,           0.0017781,           0.0017781
                  83,            0.029938,            0.014104,                   0,             0.82955,             0.80106,             0.82216,             0.33961,            0.039347,            0.013707,                   0,           0.0017005,           0.0017005,           0.0017005
                  84,            0.029361,            0.013604,                   0,             0.82515,             0.81432,             0.82007,             0.34996,            0.038635,            0.013483,                   0,           0.0016267,           0.0016267,           0.0016267
                  85,            0.028699,            0.014751,                   0,             0.82824,               0.793,             0.80565,             0.34596,            0.038992,            0.013759,                   0,           0.0015566,           0.0015566,           0.0015566
                  86,            0.029374,            0.012939,                   0,             0.85551,               0.801,             0.83686,             0.35717,            0.038739,            0.013525,                   0,           0.0014905,           0.0014905,           0.0014905
                  87,            0.028635,            0.013249,                   0,              0.8441,             0.79045,             0.81461,             0.34117,             0.03929,            0.013403,                   0,           0.0014283,           0.0014283,           0.0014283
                  88,            0.028673,            0.013097,                   0,             0.83366,             0.81094,             0.82533,             0.34607,            0.039753,              0.0141,                   0,           0.0013701,           0.0013701,           0.0013701
